Customer_id,Name,Age,Gender,AUM,Previous_AUM,Total_Returns_percentage_in_CAGR,Last_1_year_returns_percentage,Churn,Category,Customer_rating_for_service,Total_Number_of_Complaints_Raised,Number_of_Unresolved_Issues,Net_Promoter_Score,Months_since_last_activity,Chat_Analysis_1,Chat_Analysis_2,Chat_Analysis_3,Chat_Analysis_4,Chat_Analysis_5
1001001,Beau Peterson,32,Female,297600.87,151486.87,30.0,40.5,0,MA,5.0,7,1,8.0,2,Positive,Positive,Positive,Positive,Positive
1001002,Lena Foster,55,Female,223344.57,182144.57,33.09,32.83,0,MA,10.0,1,1,10.0,2,Positive,Positive,Positive,Positive,Positive
1001003,Freya Cooper,43,Female,273748.3,273348.3,10.0,12.0,1,MA,6.0,7,1,6.0,15,Positive,Positive,Positive,Positive,Positive
1001005,Jonah Brooks,67,Female,900800.1,865935.1,30.0,26.0,0,MA,10.0,8,0,8.0,2,Positive,Positive,Positive,Positive,Positive
1001007,Anaya Rao,33,Female,450789.01,369291.01,11.0,4.0,1,MA,6.0,11,1,9.0,3,Positive,Positive,Positive,Positive,Positive
1001008,Lila Wallace,46,Female,435263.99,307409.99,50.0,40.0,1,MA,9.0,9,3,9.0,15,Positive,Positive,Positive,Positive,Positive
1001009,Ishaan Patel,41,Male,621736.31,565219.31,21.0,22.0,0,MA,9.0,4,2,10.0,2,Positive,Positive,Positive,Positive,Positive
1001010,Henry Sullivan,50,Male,421344.71,281383.71,15.0,12.0,0,MA,9.0,2,1,8.0,2,Positive,Positive,Positive,Positive,Positive
1001011,Nisha Rao,57,Female,601928.56,559164.56,20.0,28.0,0,MA,10.0,9,0,7.0,2,Positive,Positive,Positive,Positive,Positive
1001015,David Bennett,52,Male,3214325.55,3077414.55,18.0,9.0,0,HNW,5.0,7,0,10.0,3,Positive,Positive,Positive,Positive,Positive
1001016,Stella Martinez,70,Female,489098.0,488526.0,11.0,6.0,1,MA,6.0,4,1,6.0,2,Positive,Positive,Positive,Positive,Positive
1001017,Wang Xin,43,Male,4938475.32,4802014.32,14.0,12.0,0,HNW,5.0,7,0,7.0,3,Positive,Positive,Positive,Positive,Positive
1001018,Adrian Davis,29,Male,100102.0,83099.0,26.0,24.0,0,MA,5.0,6,1,7.0,2,Positive,Positive,Positive,Positive,Positive
1001019,Poppy Foster,64,Female,790890.23,670621.23,5.0,18.0,1,MA,9.0,3,0,9.0,3,Negative,Positive,Positive,Negative,Negative
1001020,Ezra Wallace,45,Female,18783243.97,18640867.97,15.6,16.8,1,UHNW,9.0,6,0,6.0,2,Positive,Positive,Positive,Positive,Positive
1001021,Kimio Peters,59,Female,48765839.73,48632874.73,14.0,17.0,0,UHNW,9.0,10,2,9.0,3,Positive,Positive,Positive,Positive,Positive
